"","Binomial","lpi","elton_BodyMass.Value_g","Trophic_Level","amniota_gestation_d","amniota_maximum_longevity_y"
"141","Zapus_princeps","y",29,"Omnivores",18.11,6
"142","Zapus_trinotatus","n",27.5,"Omnivores",18.2616,6
"143","Erethizon_dorsatum","y",7085.33,"Herbivores",NA,NA
"144","Geomys_bursarius","n",203.75,"Herbivores",26.78368,12
"145","Thomomys_talpoides","n",130.08,"Herbivores",22.73966,6
"146","Dipodomys_ordii","y",60.4,"Omnivores",29.91082,9.9
"147","Perognathus_fasciatus","n",11.55,"Omnivores",30.118,NA
"148","Perognathus_parvus","y",21.78,"Omnivores",24,5.8
"149","Callospermophilus_lateralis","n",191,"Omnivores",30.436,10.4
"150","Callospermophilus_saturatus","n",NA,NA,NA,NA
"151","Cynomys_ludovicianus","y",1364,"Herbivores",35.41506,18
"152","Glaucomys_sabrinus","y",166,"Herbivores",40,14.2
"153","Glaucomys_volans","n",63.87,"Herbivores",40,19
"154","Ictidomys_tridecemlineatus","n",131.67,"Omnivores",27.75,7.9
"155","Marmota_caligata","n",7230.03,"Herbivores",30,12.05833333
"156","Marmota_flaviventris","n",3349.96,"Herbivores",30.195,21.2
"157","Marmota_monax","n",3801.72,"Herbivores",32.35,14
"158","Marmota_vancouverensis","y",6299.99,"Herbivores",30,12.1
"159","Neotamias_amoenus","y",NA,NA,NA,NA
"160","Neotamias_minimus","y",NA,NA,NA,NA
"161","Neotamias_ruficaudus","n",NA,NA,NA,NA
"162","Neotamias_townsendii","n",NA,NA,NA,NA
"163","Poliocitellus_franklinii","y",363,"Omnivores",28,7.2
"164","Sciurus_carolinensis","n",506.5,"Herbivores",44,24
"165","Sciurus_niger","n",761.9,"Herbivores",44.335,16
"166","Tamias_striatus","y",111.91,"Omnivores",31.25,9.5
"167","Tamiasciurus_douglasii","y",225,"Omnivores",38.825,5.491666667
"168","Tamiasciurus_hudsonicus","y",201.17,"Omnivores",37,12
"169","Urocitellus_columbianus","y",493,"Omnivores",24.2,4.241666667
"170","Urocitellus_parryii","y",NA,NA,NA,NA
"171","Urocitellus_richardsonii","n",406,"Omnivores",22.8,6
"172","Blarina_brevicauda","y",28,"Omnivores",20.08776,2.75
"173","Sorex_arcticus","n",8.15,"Carnivores",17,1.5
"174","Sorex_bendirii","n",16.1,"Carnivores",NA,NA
"175","Sorex_cinereus","y",4.66,"Carnivores",18.11,2.5
"176","Sorex_dispar","n",5,"Carnivores",NA,NA
"177","Sorex_fumeus","n",7.7,"Carnivores",18.8699,1.416666667
"178","Sorex_haydeni","n",3.5,"Carnivores",19.47904,2.5
"179","Sorex_hoyi","n",2.58,"Carnivores",NA,0.583333333
"180","Sorex_maritimensis","n",6.05,"Carnivores",17,1.5
"181","Sorex_merriami","n",5.9,"Carnivores",NA,NA
"182","Sorex_minutissimus","n",2.51,"Carnivores",NA,NA
"183","Sorex_monticolus","y",5.25,"Carnivores",20.26106,2.083333333
"184","Sorex_navigator","n",NA,NA,NA,NA
"185","Sorex_palustris","n",13.45,"Carnivores",21.9135,1.5
"186","Sorex_preblei","n",3.1,"Carnivores",NA,NA
"187","Sorex_rohweri","n",NA,NA,NA,NA
"188","Sorex_trowbridgii","n",3.8,"Carnivores",NA,1.5
"189","Sorex_tundrensis","n",7.73,"Carnivores",17,1.5
"190","Sorex_ugyunak","n",3.6,"Carnivores",18.11,2.5
"191","Sorex_vagrans","y",5.9,"Carnivores",20.26106,2.083333333
"192","Condylura_cristata","n",84,"Carnivores",40,3
"193","Neurotrichus_gibbsii","n",8.9,"Omnivores",21.27,NA
"194","Parascalops_breweri","n",51,"Carnivores",36.14378,5
"195","Scalopus_aquaticus","n",91.26,"Carnivores",41.5393,6.2
"196","Scapanus_orarius","n",61.2,"Carnivores",35.218,3
"197","Scapanus_townsendii","n",141.7,"Carnivores",35.61012,NA
