"ID","Binomial","Replicate","Class","Order","Family","Genus","Species","Subspecies","Common_name","Location","Latitude","Longitude","System","Units","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","FBname","SpeciesRefNo","LongevityWild","LongevityCaptive","Length","LTypeMaxM","LengthFemale","LTypeMaxF","CommonLength","LTypeComM","CommonLengthF","LTypeComF","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","SpecCode","Troph","seTroph","TrophObserved","Median_T","lcl_T","ucl_T","n_T"
521,"Anguilla_rostrata",0,"Fish","Anguilliformes","Anguillidae","Anguilla","rostrata","NULL","American eel","Prince Edward Island National Park",46.416091,-63.074093,"Freshwater","CPUE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.134467618","NULL","0.159979019","0.074244205","0.064102564","0.052247161","0.076034623","0.040902783","0.036797056","0.060588482","0.137198986","0.116166202","NULL","NULL","NULL","American eel",5723,43,50,152,"TL","122","TL","50","TL",NA,NA,"0",464,57178,NA,NA,NA,"296",3.82999992370605,0.216000005602837,TRUE,14.5,NA,NA,2
522,"Anguilla_rostrata",0,"Fish","Anguilliformes","Anguillidae","Anguilla","rostrata","NULL","American eel","Prince Edward Island National Park",46.416091,-63.074093,"Freshwater","CPUE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.000914746","NULL","0.003638254","0.005843604","0.002737626","0.002132537","0.000794302","0.000730407","NULL","0.001293703","0.001266624","0.003444173","NULL","NULL","NULL","American eel",5723,43,50,152,"TL","122","TL","50","TL",NA,NA,"0",464,57178,NA,NA,NA,"296",3.82999992370605,0.216000005602837,TRUE,14.5,NA,NA,2
537,"Anoplopoma_fimbria",1,"Fish","Scorpaeniformes","Anoplopomatidae","Anoplopoma","fimbria","NULL","Sablefish","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4000476.794","NULL","1806998.522","NULL","416367.0454","NULL","2381359.851","NULL","1408686.207","NULL","1095092.542","NULL","3536315.903","NULL","NULL","NULL","NULL","Sablefish",2850,94,NA,120,"TL",NA,NA,"80","TL",NA,NA,"175",2740,6793,175,1450,10935,"512",3.83999991416931,0.204999998211861,TRUE,5.80000019073486,4.80000019073486,6.90000009536743,25
538,"Anoplopoma_fimbria",1,"Fish","Scorpaeniformes","Anoplopomatidae","Anoplopoma","fimbria","NULL","Sablefish","West Coast Haida Gwaii",53.135067,-132.70632,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1652756.358","550577.6644","1365452.823","NULL","1053975.816","NULL","1133928.284","NULL","NULL","NULL","918043.5017","NULL","NULL","NULL","NULL","Sablefish",2850,94,NA,120,"TL",NA,NA,"80","TL",NA,NA,"175",2740,6793,175,1450,10935,"512",3.83999991416931,0.204999998211861,TRUE,5.80000019073486,4.80000019073486,6.90000009536743,25
539,"Anoplopoma_fimbria",1,"Fish","Scorpaeniformes","Anoplopomatidae","Anoplopoma","fimbria","NULL","Sablefish","Strait of Georgia",49.35,-123.87,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3811.6","NULL","NULL","14646.27273","NULL","NULL","NULL","NULL","NULL","Sablefish",2850,94,NA,120,"TL",NA,NA,"80","TL",NA,NA,"175",2740,6793,175,1450,10935,"512",3.83999991416931,0.204999998211861,TRUE,5.80000019073486,4.80000019073486,6.90000009536743,25
548,"Antimora_microlepis",1,"Fish","Gadiformes","Moridae","Antimora","microlepis","NULL","Finescale mora","West Coast Haida Gwaii",53.135067,-132.70632,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","53899.83306","7541.322672","54802.45328","NULL","5757.988854","NULL","33067.7771","NULL","NULL","NULL","29892.18844","NULL","NULL","NULL","NULL","Finescale mora",1371,20,NA,75,"TL",NA,NA,NA,NA,NA,NA,"175",3048,6793,NA,NA,NA,"2006",3.5,0.370000004768372,TRUE,12.1999998092651,NA,NA,1
649,"Apeltes_quadracus",0,"Fish","Gasterosteiformes","Gasterosteidae","Apeltes","quadracus","NULL","Fourspine stickleback","Prince Edward Island National Park",46.416091,-63.074093,"Freshwater","CPUE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.008916863","0.004273048","0.001105217","0.002665671","0.001315478","0.000730407","0.000399968","0.005801025","0.005069708","0.00970661","NULL","NULL","NULL","Fourspine stickleback",3814,3,4,6.40000009536743,"TL",NA,NA,"4.099999904632568","TL",NA,NA,"0",3,85409,NA,NA,NA,"3269",3.23000001907349,0.379999995231628,TRUE,1.29999995231628,NA,NA,2
650,"Apeltes_quadracus",0,"Fish","Gasterosteiformes","Gasterosteidae","Apeltes","quadracus","NULL","Fourspine stickleback","Prince Edward Island National Park",46.416091,-63.074093,"Freshwater","CPUE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.079125503","NULL","0.121621622","0.087654059","0.079391152","0.04584955","0.030977786","0.020086188","0.008799296","0.039134513","0.050031666","0.057924729","NULL","NULL","NULL","Fourspine stickleback",3814,3,4,6.40000009536743,"TL",NA,NA,"4.099999904632568","TL",NA,NA,"0",3,85409,NA,NA,NA,"3269",3.23000001907349,0.379999995231628,TRUE,1.29999995231628,NA,NA,2
656,"Apristurus_brunneus",1,"Fish","Carcharhiniformes","Scyliorhinidae","Apristurus","brunneus","NULL","Brown catshark","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5598.126342","NULL","2535.829573","NULL","2290.355455","NULL","2587.051081","NULL","4924.45805","NULL","1416.085787","NULL","4633.885175","NULL","NULL","NULL","NULL","Brown catshark",244,NA,NA,69,"TL",NA,NA,NA,NA,NA,NA,"33",1306,96339,NA,NA,NA,"763",3.94000005722046,0.430000007152557,FALSE,NA,NA,NA,NA
657,"Apristurus_brunneus",1,"Fish","Carcharhiniformes","Scyliorhinidae","Apristurus","brunneus","NULL","Brown catshark","West Coast Haida Gwaii",53.135067,-132.70632,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1306.651208","2759.629379","2583.924909","NULL","1772.008922","NULL","161.4632608","NULL","NULL","NULL","2255.337723","NULL","NULL","NULL","NULL","Brown catshark",244,NA,NA,69,"TL",NA,NA,NA,NA,NA,NA,"33",1306,96339,NA,NA,NA,"763",3.94000005722046,0.430000007152557,FALSE,NA,NA,NA,NA
658,"Apristurus_brunneus",1,"Fish","Carcharhiniformes","Scyliorhinidae","Apristurus","brunneus","NULL","Brown catshark","Strait of Georgia",49.35,-123.87,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13020.8","NULL","NULL","22192.54545","NULL","NULL","NULL","NULL","NULL","Brown catshark",244,NA,NA,69,"TL",NA,NA,NA,NA,NA,NA,"33",1306,96339,NA,NA,NA,"763",3.94000005722046,0.430000007152557,FALSE,NA,NA,NA,NA
667,"Atheresthes_stomias",1,"Fish","Pleuronectiformes","Pleuronectidae","Atheresthes","stomias","NULL","Arrowtooth flounder","Queen Charlotte Sound",51.85732,-128.86062,"Marine","Index of abundance","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5.905","12.198","NULL","NULL","7.6","NULL","9.614","NULL","13.703","NULL","11.676","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Arrow-tooth flounder",2850,23,NA,84,"TL",NA,NA,"50","TL",NA,NA,"18",950,50610,NA,NA,NA,"517",4.17000007629395,0.272000014781952,TRUE,NA,NA,NA,NA
668,"Atheresthes_stomias",1,"Fish","Pleuronectiformes","Pleuronectidae","Atheresthes","stomias","NULL","Arrowtooth flounder","Hectate Straight",53.17,-130.82,"Marine","Index of abundance","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7.076","NULL","7.734","NULL","12.584","NULL","10.379","11.087","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Arrow-tooth flounder",2850,23,NA,84,"TL",NA,NA,"50","TL",NA,NA,"18",950,50610,NA,NA,NA,"517",4.17000007629395,0.272000014781952,TRUE,NA,NA,NA,NA
669,"Atheresthes_stomias",1,"Fish","Pleuronectiformes","Pleuronectidae","Atheresthes","stomias","NULL","Arrowtooth flounder","Hectate Straight",53.17,-130.82,"Marine","Index of abundance","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15.194","NULL","6.774","NULL","13.064","NULL","15.805","NULL","14.593","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Arrow-tooth flounder",2850,23,NA,84,"TL",NA,NA,"50","TL",NA,NA,"18",950,50610,NA,NA,NA,"517",4.17000007629395,0.272000014781952,TRUE,NA,NA,NA,NA
670,"Atheresthes_stomias",1,"Fish","Pleuronectiformes","Pleuronectidae","Atheresthes","stomias","NULL","Arrowtooth flounder","West Coast Vancouver Island",49.31,-126.78,"Marine","Index of abundance","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8.711","NULL","8.215","NULL","6.729","NULL","15.037","NULL","5.581","NULL","14.124","NULL","NULL","NULL","NULL","NULL","NULL","Arrow-tooth flounder",2850,23,NA,84,"TL",NA,NA,"50","TL",NA,NA,"18",950,50610,NA,NA,NA,"517",4.17000007629395,0.272000014781952,TRUE,NA,NA,NA,NA
671,"Atheresthes_stomias",1,"Fish","Pleuronectiformes","Pleuronectidae","Atheresthes","stomias","NULL","Arrowtooth flounder","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8581254.301","NULL","8077575.53","NULL","6604061.541","NULL","14829045.33","NULL","5541937.439","NULL","13942133.47","NULL","10282366.83","NULL","NULL","NULL","NULL","Arrow-tooth flounder",2850,23,NA,84,"TL",NA,NA,"50","TL",NA,NA,"18",950,50610,NA,NA,NA,"517",4.17000007629395,0.272000014781952,TRUE,NA,NA,NA,NA
672,"Atheresthes_stomias",1,"Fish","Pleuronectiformes","Pleuronectidae","Atheresthes","stomias","NULL","Arrowtooth flounder","West Coast Haida Gwaii",53.135067,-132.70632,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","572757.1541","908619.6801","1039607.867","NULL","626389.6677","NULL","418158.0521","NULL","NULL","NULL","209372.3895","NULL","NULL","NULL","NULL","Arrow-tooth flounder",2850,23,NA,84,"TL",NA,NA,"50","TL",NA,NA,"18",950,50610,NA,NA,NA,"517",4.17000007629395,0.272000014781952,TRUE,NA,NA,NA,NA
