ID,Binomial,Replicate,Class,Order,Family,Genus,Species,Subspecies,Common_name,Location,Latitude,Longitude,System,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11,Alces_americanus,0,Mammalia,Artiodactyla,Cervidae,Alces,americanus,,Moose,"La Mauricie National Park, Quebec",46.778085,-72.957967,Terrestrial,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,52,NULL,95,NULL,NULL,NULL,184,192,NULL,NULL,NULL,NULL,186,NULL,NULL,NULL,NULL,212,NULL,NULL,NULL,NULL,NULL,295,NULL,NULL,NULL,NULL,265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,210,NULL,NULL,NULL,NULL
12,Glaucomys_sabrinus,0,Mammalia,Rodentia,Sciuridae,Glaucomys,sabrinus,,Northern flying squirrel,Commercially managed forests in Ontario,50.219196,-84.52551,Terrestrial,Individuals per 100 trap nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,0.2,NULL,NULL,NULL
13,Alces_americanus,0,Mammalia,Artiodactyla,Cervidae,Alces,americanus,,Moose,"Forillon National Park, Quebec",48.893948,-64.351142,Terrestrial,Individuals per 10 kmÂ²,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.4,NULL,NULL,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34.4,NULL,NULL,NULL
14,Tamias_striatus,0,Mammalia,Rodentia,Sciuridae,Tamias,striatus,,Eastern chipmunk,Commercially managed forests in Ontario,50.219196,-84.52551,Terrestrial,Individuals per 100 trap nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,0.4,NULL,NULL,NULL
15,Alces_americanus,0,Mammalia,Artiodactyla,Cervidae,Alces,americanus,,Moose,"Revelstoke, British Columbia",51.533333,-118.516667,Terrestrial,Population estimate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1649.1,1637.8,1221.76,1106.93,749.25,683.36,442.39,698.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,Alces_americanus,0,Mammalia,Artiodactyla,Cervidae,Alces,americanus,,Moose,"North Richardson mountains, Yukon",68.16667,-137,Terrestrial,Mature bulls and cows,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,Alces_americanus,0,Mammalia,Artiodactyla,Cervidae,Alces,americanus,,Moose,"Island, Newfoundland and Labrador",48.60645,-56.33304,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86820,89502,92834,97347,103961,108310,113722,118123,122497,127048,130806,133756,135693,137881,140080,142437,146007,149275,149298,147955,145273,141822,138653,135490,132609,132412,130771,128485,125847,122480,119561,117548,116359,116179,114428,114864,114150,NULL,NULL,NULL,NULL
18,Aspidophoroides_monopterygius,0,Actinopterygii,Scorpaeniformes,Agonidae,Aspidophoroides,monopterygius,,Alligatorfish,NAFO division 3L within Canada EEZ,47.607599,-50.75978,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.017,0.047,0.159,1.182,0.638,1.411,0.312,0.572,0.363,0.066,0.227,0.3,0.048,0.013,0.022,0.042,0.031,0.078,0.016,0.007,0.078,0.038,0.046,0.163,0.021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,Alces_americanus,1,Mammalia,Artiodactyla,Cervidae,Alces,americanus,,Moose,New Brunswick,46.56531,-66.46191,Terrestrial,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25916,NULL,NULL,NULL,NULL,31819,NULL,NULL,NULL,NULL,NULL
20,Zoarces_americanus,0,Actinopterygii,Perciformes,Zoarcidae,Zoarces,americanus,,Ocean pout,NAFO division 4T within Canada EEZ,47.637685,-63.728047,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.715,0.082,0.28,0.692,0.115,0.401,NULL,0.2,0.163,0.043,0.051,0.093,1.434,0.223,0.078,0.095,0.443,0.586,0.125,0.157,0.183,0.084,0.137,0.138,0.176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,Citharichthys_arctifrons,0,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,arctifrons,,Gulf Stream flounder,NAFO division 4W within Canada EEZ,42.866877,-61.181309,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.021,NULL,NULL,NULL,0.262,0.258,0.208,0.173,0.487,0.214,0.145,0.023,0.091,0.008,0.031,0.02,0.008,NULL,0.028,0.516,0.712,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,Alces_americanus,0,Mammalia,Artiodactyla,Cervidae,Alces,alces,,Moose,"Wildlife Management Zone 56, Saskatchewan",52.39068,-102.61505,Terrestrial,Density (pop estimate/km2),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.09,NULL,NULL,0.82,NULL,NULL,NULL,NULL,0.68,NULL,NULL,NULL,NULL,NULL
23,Alces_americanus,0,Mammalia,Artiodactyla,Cervidae,Alces,alces,,Moose,"Wildlife Management Zone 57, Saskatchewan",52.61972,-101.74713,Terrestrial,Density (pop estimate/km2),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.76,NULL,NULL,0.56,NULL,0.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,Alces_americanus,0,Mammalia,Artiodactyla,Cervidae,Alces,alces,,Moose,"Wildlife Management Zone 59, Saskatchewan",53.18464,-102.63153,Terrestrial,Density (pop estimate/km2),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.45,NULL,NULL,0.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,Alces_americanus,0,Mammalia,Artiodactyla,Cervidae,Alces,alces,,Moose,"Wildlife Management Zone 67, Saskatchewan",53.80065,-108.22631,Terrestrial,Density (pop estimate/km2),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.32,NULL,NULL,0.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,Lumpenus_lampretaeformis,1,Actinopterygii,Perciformes,Stichaeidae,Lumpenus,lampretaeformis,,Snakeblenny,NAFO division 4T within Canada EEZ,47.637685,-63.728047,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.172,0.555,0.01,0.016,0.034,0.015,0.221,NULL,0.104,0.236,0.347,0.063,0.041,0.465,0.292,0.105,0.101,0.325,0.025,0.031,0.14,0.097,0.314,0.477,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,Nezumia_bairdii,0,Actinopterygii,Gadiformes,Macrouridae,Nezumia,bairdii,,Marlin-spike grenadier,NAFO division 3Ps within Canada EEZ,46.034584,-55.995809,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.84,NULL,3.457,3.625,3.232,7.689,6.889,2.097,2.054,4.4,5.431,6.297,3,1.871,0.103,2.048,3.778,2.704,2.674,5.474,4.912,7.981,4.885,3.035,4.187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,Myoxocephalus_scorpius,1,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,,Shorthorn sculpin,NAFO 4T within Canadian EEZ,47.637685,-63.728047,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.067,NULL,NULL,NULL,0.155,0.024,0.009,0.008,0.022,0.109,0.173,0.065,0.05,0.027,0.075,0.359,0.273,0.358,0.174,0.368,0.165,0.326,0.068,0.172,0.062,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,Notacanthus_chemnitzii,0,Actinopterygii,Notacanthiformes,Notacanthidae,Notacanthus,chemnitzii,,Snubnosed spiny eel,NAFO division 3L within Canada EEZ,47.607599,-50.75978,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.141,NULL,NULL,NULL,0.022,0.121,0.607,0.051,0.135,0.14,0.2,0.004,0.198,0.039,0.176,0.01,0.026,0.024,0.017,NULL,0.017,NULL,0.178,0.011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,Hippoglossina_oblonga,0,Actinopterygii,Pleuronectiformes,Paralichthyidae,Hippoglossina,oblonga,,American fourspot flounder,NAFO division 5Ze within Canada EEZ,41.627502,-66.214847,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.218,NULL,1.235,9.231,2.296,0.281,0.02,0.304,0.091,0.157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,Ammodytes_dubius,0,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,dubius,,Northern sand lance,NAFO Division 3L within Canada EEZ,47.607599,-50.75978,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.35,0.035,0.273,6.955,0.31,86.431,1.028,0.567,1.065,63.394,59.38,18.135,32.933,0.064,0.014,0.053,0.063,0.104,0.114,0.399,0.446,0.117,0.074,0.198,0.249,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,Cottunculus_microps,0,Actinopterygii,Scorpaeniformes,Psychrolutidae,Cottunculus,microps,,Polar sculpin,NAFO division 3K within Canada EEZ,50.695322,-52.121122,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.108,NULL,0.04,NULL,NULL,0.515,0.281,NULL,NULL,0.29,0.201,0.135,0.146,0.115,0.273,0.059,0.278,0.398,0.691,0.259,0.565,0.272,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,Peprilus_triacanthus,0,Actinopterygii,Perciformes,Stromateidae,Peprilus,triacanthus,,Butterfish,NAFO division 4W within Canada EEZ,42.866877,-61.181309,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.03,NULL,NULL,0.038,NULL,NULL,NULL,NULL,0.015,0.021,0.007,0.145,0.044,1.33,3.08,0.503,0.753,1.436,0.245,0.045,0.041,0.028,0.445,0.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,Alces_americanus,0,Mammalia,Artiodactyla,Cervidae,Alces,alces,,Moose,"Vancouver Island, British Columbia",49.65063,-125.44939,Terrestrial,Estimated number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,30,NULL,NULL,NULL,15,NULL,NULL,15,NULL,NULL,15,NULL,NULL,15,NULL,NULL,NULL,NULL,15,NULL,NULL,15,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL
35,Chlorophthalmus_agassizi,0,Actinopterygii,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,agassizi,,Shortnose greeneye,NAFO division 4W within Canada EEZ,42.866877,-61.181309,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.006,0.183,0.03,0.056,0.813,0.007,0.103,0.077,NULL,NULL,NULL,0.023,NULL,NULL,0.106,0.184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
