ID,Binomial,Replicate,Class,Order,Family,Genus,Species,Subspecies,Common_name,Location,Latitude,Longitude,System,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,FBname,SpecCode,SpeciesRefNo,LongevityWild,AgeMax,LongevityCaptive,Length,LTypeMaxM,LengthFemale,LTypeMaxF,CommonLength,LTypeComM,CommonLengthF,LTypeComF,Weight,WeightFemale,MaxWeightRef,Median_T,lcl_T,ucl_T,n_T,Herbivory2,DietTroph,DietSeTroph,DietRemark,DietRef,FoodTroph,FoodSeTroph,FoodRemark,FoodRef,Troph,seTroph,TrophObserved,MaxLength_TLonly
29,Notacanthus_chemnitzii,0,Actinopterygii,Notacanthiformes,Notacanthidae,Notacanthus,chemnitzii,NA,Snubnosed spiny eel,"NAFO division 3L within Canada EEZ",47.607599,-50.75978,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.141,NULL,NULL,NULL,0.022,0.121,0.607,0.051,0.135,0.14,0.2,0.004,0.198,0.039,0.176,0.01,0.026,0.024,0.017,NULL,0.017,NULL,0.178,0.011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Snubnosed spiny eel,2661,4449,NA,NA,NA,120,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,NA,NA,2,mainly animals (troph. 2.8 and up),NA,NA,NA,NA,3.5,0.37,Tentative trophic level derived from 1 + troph of a single food item,NA,3.5,0.370000004768372,TRUE,120
30,Hippoglossina_oblonga,0,Actinopterygii,Pleuronectiformes,Paralichthyidae,Hippoglossina,oblonga,NA,American fourspot flounder,"NAFO division 5Ze within Canada EEZ",41.627502,-66.214847,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.218,NULL,1.235,9.231,2.296,0.281,0.02,0.304,0.091,0.157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,American fourspot flounder,4229,7251,NA,NA,NA,41,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.29,0.149,Troph of adults from 2 studies.,37512,NA,NA,NA,NA,4.28999996185303,0.149000003933907,TRUE,41
31,Ammodytes_dubius,0,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,dubius,NA,Northern sand lance,"NAFO Division 3L within Canada EEZ",47.607599,-50.75978,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.35,0.035,0.273,6.955,0.31,86.431,1.028,0.567,1.065,63.394,59.38,18.135,32.933,0.064,0.014,0.053,0.063,0.104,0.114,0.399,0.446,0.117,0.074,0.198,0.249,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Northern sand lance,3821,7251,NA,NA,NA,25,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),3.2,0.072,Troph of adults from 3 studies.,37512,3.27,0.38,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.20000004768372,0.0719999969005585,TRUE,25
32,Cottunculus_microps,0,Actinopterygii,Scorpaeniformes,Psychrolutidae,Cottunculus,microps,NA,Polar sculpin,"NAFO division 3K within Canada EEZ",50.695322,-52.121122,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.108,NULL,0.04,NULL,NULL,0.515,0.281,NULL,NULL,0.29,0.201,0.135,0.146,0.115,0.273,0.059,0.278,0.398,0.691,0.259,0.565,0.272,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Polar sculpin,9199,6696,NA,NA,NA,30,SL,NA,NA,14,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.14,0.22,Troph of juv./adults from 1 study.,41506,3.44,0.48,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.1399998664856,0.219999998807907,TRUE,NA
33,Peprilus_triacanthus,0,Actinopterygii,Perciformes,Stromateidae,Peprilus,triacanthus,NA,Butterfish,"NAFO division 4W within Canada EEZ",42.866877,-61.181309,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.03,NULL,NULL,0.038,NULL,NULL,NULL,NULL,0.015,0.021,0.007,0.145,0.044,1.33,3.08,0.503,0.753,1.436,0.245,0.045,0.041,0.028,0.445,0.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Atlantic butterfish,492,7251,NA,NA,NA,30,TL,NA,NA,20,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),3.91,0.033,Troph of juv./adults from 6 studies.,37512,3.68,0.45,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.91000008583069,0.0329999998211861,TRUE,30
35,Chlorophthalmus_agassizi,0,Actinopterygii,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,agassizi,NA,Shortnose greeneye,"NAFO division 4W within Canada EEZ",42.866877,-61.181309,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.006,0.183,0.03,0.056,0.813,0.007,0.103,0.077,NULL,NULL,NULL,0.023,NULL,NULL,0.106,0.184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Shortnose greeneye,1808,3590,NA,NA,NA,40,TL,NA,NA,20,SL,NA,NA,NA,NA,NA,4.59999990463257,NA,NA,1,mainly animals (troph. 2.8 and up),3.66,NA,Troph of adults from 1 study.,37512,3.17,0.37,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.69000005722046,0.529999971389771,FALSE,40
36,Bathyraja_spinicauda,0,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,spinicauda,NA,Spinytail skate,"NAFO division 3K within Canada EEZ",50.695322,-52.121122,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.146,NULL,0.04,NULL,0.143,0.29,0.321,0.249,0.25,0.269,0.318,0.239,0.17,0.118,0.176,0.059,0.11,0.147,0.057,0.036,0.074,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Spinytail skate,2569,27314,NA,NA,NA,170,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.41,0.62,Troph of juv./adults from 1 study.,NA,3.87,0.61,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.40999984741211,0.620000004768372,TRUE,170
37,Helicolenus_dactylopterus,0,Actinopterygii,Scorpaeniformes,Sebastidae,Helicolenus,dactylopterus,NA,Blackbelly rosefish,"NAFO division 4X within Canada EEZ",42.729563,-65.098835,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.12,NULL,NULL,NULL,0.296,0.398,0.092,NULL,NULL,0.397,0.321,0.157,0.432,0.751,0.411,1.558,2.498,1.04,2.075,0.694,1.223,1.712,1.096,2.695,2.294,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Blackbelly rosefish,76,4510,43,NA,NA,50,TL,NA,NA,25,TL,NA,NA,1550,NA,40637,9.60000038146973,7.69999980926514,12.1999998092651,21,mainly animals (troph. 2.8 and up),3.54,NA,Troph of adults from 1 study.,41858,3.8,0.58,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.94000005722046,0.550000011920929,FALSE,50
38,Synaphobranchus_kaupii,0,Actinopterygii,Anguilliformes,Synaphobranchidae,Synaphobranchus,kaupii,NA,Kaup's arrowtooth eel,"NAFO division 2J within Canada EEZ",53.910492,-53.864595,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.39,0.696,NULL,0.563,0.208,0.659,0.069,0.3,0.189,0.082,0.069,0.146,0.224,0.135,0.092,0.064,0.136,0.221,0.084,0.092,0.173,0.117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Kaup's arrowtooth eel,9104,26895,NA,NA,NA,100,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.09,0.36,Troph of juv./adults from 1 study.,33529,3.77,0.52,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.09000015258789,0.360000014305115,TRUE,100
39,Centroscyllium_fabricii,0,Elasmobranchii,Squaliformes,Etmopteridae,Centroscyllium,fabricii,NA,Black dogfish,"NAFO Division 3Ps within Canada EEZ",46.034584,-55.995809,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.087,0.909,1.16,1.397,2.794,1.262,0.586,1.168,3.725,8.989,4.25,5.751,1.486,8.947,16.648,12.309,17.67,31.776,28.978,28.707,24.214,29.187,45.805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Black dogfish,656,247,NA,NA,NA,107,TL,NA,NA,84,TL,70,TL,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),3.84,0.268,Troph of juv./adults from 2 studies.,12473,4.13,0.61,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.83999991416931,0.26800000667572,TRUE,107
40,Trachyrincus_murrayi,0,Actinopterygii,Gadiformes,Macrouridae,Trachyrincus,murrayi,NA,Roughnose grenadier,"NAFO division 2J within Canada EEZ",53.910492,-53.864595,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.014,11.227,0.102,NULL,0.037,0.019,0.044,0.099,0.039,0.015,0.03,0.014,0.056,NULL,0.07,0.021,0.026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Roughnose grenadier,27730,1371,NA,NA,NA,37,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),NA,NA,NA,NA,3.47,0.52,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.47000002861023,0.519999980926514,TRUE,37
41,Boreogadus_saida,0,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,NA,Polar cod / Arctic cod,"NAFO division 2J within Canada EEZ",53.910492,-53.864595,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.465,NULL,10.527,107.826,0.4,15.188,7.899,3.186,23.812,5.222,30.071,19.022,8.337,14.625,68.83,7.421,4.223,9.008,26.807,8.462,19.81,20.672,37.078,37.154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Polar cod,319,1371,7,NA,NA,40,TL,NA,NA,25,TL,NA,NA,NA,NA,NA,4.90000009536743,2.29999995231628,5.80000019073486,11,mainly animals (troph. 2.8 and up),3.12,0.111,Troph of juv./adults from 2 studies.,56485,3.27,0.5,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.11999988555908,0.111000001430511,TRUE,40
42,Hemitripterus_americanus,0,Actinopterygii,Scorpaeniformes,Hemitripteridae,Hemitripterus,americanus,NA,Sea raven,"NAFO division 4X within Canada EEZ",42.729563,-65.098835,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.65893,0.66098,1.25217,0.80213,0.78125,1.4625,1.32941,1.17083,1.53333,1.33594,1.4563,2.11707,2.11893,1.73657,2.775,1.61909,0.99236,0.77273,1.23043,2.09091,1.28116,1.31343,1.93088,1.32727,1.25147,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sea raven,4097,7251,NA,NA,NA,64,TL,NA,NA,NA,NA,NA,NA,3200,NA,7251,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.45,0.541,Troph of juv./adults from 2 studies.,37512,3.97,0.63,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.44999980926514,0.541000008583069,TRUE,64
